Epoch:2095 Score:2802
Epoch:2100 Score:2803
Epoch:2105 Score:2863
Epoch:2110 Score:2831
Epoch:2115 Score:2790
Epoch:2120 Score:2797
Epoch:2125 Score:2778
Epoch:2130 Score:2718
Epoch:2135 Score:2736
Epoch:2140 Score:2743
Epoch:2145 Score:2745
Epoch:2150 Score:2770
Epoch:2155 Score:2788
Epoch:2160 Score:2754
Epoch:2165 Score:2762
Epoch:2170 Score:2776
Epoch:2175 Score:2730
Epoch:2180 Score:2755
Epoch:2185 Score:2719
Epoch:2190 Score:2731
Epoch:2195 Score:2732
Epoch:2200 Score:2803
Epoch:2205 Score:2764
Epoch:2210 Score:2783
Epoch:2215 Score:2844
Epoch:2220 Score:2896
Epoch:2225 Score:2879
Epoch:2230 Score:2901
Epoch:2235 Score:2859
Epoch:2240 Score:2925
Epoch:2245 Score:2876
Epoch:2250 Score:2816
Epoch:2255 Score:2822
Epoch:2260 Score:2775
Epoch:2265 Score:2752
Epoch:2270 Score:2717
Epoch:2275 Score:2731
Epoch:2280 Score:2783
Epoch:2285 Score:2761
Epoch:2290 Score:2747
Epoch:2295 Score:2737
Epoch:2300 Score:2721
Epoch:2305 Score:2731
Epoch:2310 Score:2673
Epoch:2315 Score:2653
Epoch:2320 Score:2668
Epoch:2325 Score:2701
Epoch:2330 Score:2736
Epoch:2335 Score:2733
Epoch:2340 Score:2708
Epoch:2345 Score:2672
Epoch:2350 Score:2737
Epoch:2355 Score:2782
Epoch:2360 Score:2763
Epoch:2365 Score:2758
Epoch:2370 Score:2691
Epoch:2375 Score:2683
Epoch:2380 Score:2722
Epoch:2385 Score:2767
Epoch:2390 Score:2811
Epoch:2395 Score:2816
Epoch:2400 Score:2810
Epoch:2405 Score:2787
Epoch:2410 Score:2833
Epoch:2415 Score:2786
Epoch:2420 Score:2779
Epoch:2425 Score:2756
Epoch:2430 Score:2754
Epoch:2435 Score:2758
Epoch:2440 Score:2771
Epoch:2445 Score:2708
Epoch:2450 Score:2683
Epoch:2455 Score:2719
Epoch:2460 Score:2695
Epoch:2465 Score:2724
Epoch:2470 Score:2738
Epoch:2475 Score:2718
Epoch:2480 Score:2759
Epoch:2485 Score:2767
Epoch:2490 Score:2777
Epoch:2495 Score:2806
Epoch:2500 Score:2862
Epoch:2505 Score:2863
Epoch:2510 Score:2822
Epoch:2515 Score:2763
Epoch:2520 Score:2744
Epoch:2525 Score:2771
Epoch:2530 Score:2751
Epoch:2535 Score:2753
Epoch:2540 Score:2725
Epoch:2545 Score:2696
Epoch:2550 Score:2744
Epoch:2555 Score:2680
Epoch:2560 Score:2705
Epoch:2565 Score:2720
Epoch:2570 Score:2741
Epoch:2575 Score:2713
Epoch:2580 Score:2714
Epoch:2585 Score:2735
Epoch:2590 Score:2737
Epoch:2595 Score:2742
Epoch:2600 Score:2730
Epoch:2605 Score:2740
Epoch:2610 Score:2746
Epoch:2615 Score:2726
Epoch:2620 Score:2736
Epoch:2625 Score:2728
Epoch:2630 Score:2739
Epoch:2635 Score:2700
Epoch:2640 Score:2673
Epoch:2645 Score:2664
Epoch:2650 Score:2676
Epoch:2655 Score:2661
Epoch:2660 Score:2653
Epoch:2665 Score:2698
Epoch:2670 Score:2680
Epoch:2675 Score:2691
Epoch:2680 Score:2709
Epoch:2685 Score:2732
Epoch:2690 Score:2745
Epoch:2695 Score:2724
Epoch:2700 Score:2710
Epoch:2705 Score:2676
Epoch:2710 Score:2664
Epoch:2715 Score:2699
Epoch:2720 Score:2741
Epoch:2725 Score:2695
Epoch:2730 Score:2686
Epoch:2735 Score:2678
Epoch:2740 Score:2679
Epoch:2745 Score:2706
Epoch:2750 Score:2684
Epoch:2755 Score:2692
Epoch:2760 Score:2732
Epoch:2765 Score:2821
Epoch:2770 Score:2771
Epoch:2775 Score:2753
Epoch:2780 Score:2721
Epoch:2785 Score:2743
Epoch:2790 Score:2725
Epoch:2795 Score:2719
Epoch:2800 Score:2712
Epoch:2805 Score:2734
Epoch:2810 Score:2747
Epoch:2815 Score:2744
Epoch:2820 Score:2771
Epoch:2825 Score:2775
Epoch:2830 Score:2801
Epoch:2835 Score:2786
Epoch:2840 Score:2798
Epoch:2845 Score:2775
Epoch:2850 Score:2730
Epoch:2855 Score:2806
Epoch:2860 Score:2807
Epoch:2865 Score:2755
Epoch:2870 Score:2746
Epoch:2875 Score:2768
Epoch:2880 Score:2763
Epoch:2885 Score:2720
Epoch:2890 Score:2702
Epoch:2895 Score:2647
Epoch:2900 Score:2615
Epoch:2905 Score:2673
Epoch:2910 Score:2692
Epoch:2915 Score:2734
Epoch:2920 Score:2707
Epoch:2925 Score:2767
Epoch:2930 Score:2724
Epoch:2935 Score:2769
Epoch:2940 Score:2775
Epoch:2945 Score:2735
Epoch:2950 Score:2712
Epoch:2955 Score:2722
Epoch:2960 Score:2706
Epoch:2965 Score:2678
Epoch:2970 Score:2723
Epoch:2975 Score:2748
Epoch:2980 Score:2794
Epoch:2985 Score:2792
Epoch:2990 Score:2765
Epoch:2995 Score:2720
Epoch:3000 Score:2723
Epoch:3005 Score:2790
Epoch:3010 Score:2761
Epoch:3015 Score:2753
Epoch:3020 Score:2754
Epoch:3025 Score:2706
Epoch:3030 Score:2728
Epoch:3035 Score:2759
Epoch:3040 Score:2734
Epoch:3045 Score:2712
Epoch:3050 Score:2763
Epoch:3055 Score:2736
Epoch:3060 Score:2761
Epoch:3065 Score:2746
Epoch:3070 Score:2806
Epoch:3075 Score:2757
Epoch:3080 Score:2785
